Country Name,Date,Closure of Schools,Closure of workplaces,Cancellation of Public Events,Restrictions on Gathering,Closure of Public Transport,Quarantine Requirements,Restrictions on Internal Movement ,Restrictions on International Travel,Income Support,Debt/contract relief for households,Fiscal Measures,Giving International Support,Public Information Campaign,Testing policy,Contact tracing,Emergency investment in healthcare,Investment in Covid 19 policies,Facial Coverings,Vaccination Policy,Protection of elderly people,NEWS ARTICLE/NEW POLICY/GOVERNMENT RESPONSE,Sentiment
Japan,20200101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data available ,positive
Japan,20200102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"WHO: ""Quarantine and screening measures have been enhanced for travelers from Wuhan city at the point of entries since 7 January."" https://web.archive.org/web/20200518195048/https://www.who.int/csr/don/17-january-2020-novel-coronavirus-japan-ex-china/en/ Cabinet Office: https://web.archive.org/web/20200518195156/https://www.kantei.go.jp/jp/singi/novel_coronavirus/siryou/sidai.pdf",
Japan,20200108,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Japan,20200114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
